VISIBLE_TAG,VISIBLE_PARENT_TAG,VISIBLE_TYPE,VISIBLE_VOLTAGE_KV,VISIBLE_RATING_OR_LOAD_KW,VISUAL_STATUS
KPL2-A10-410-CP002,KPL2-A10-410-LV01-MCC01,MAA,0.4,5.5,VISIBLE_IN_SLD
KPL2-A10-410-PP004,KPL2-A10-410-LV01-MCC01,MAA,0.4,4,VISIBLE_IN_SLD
KPL2-A10-410-FN003,KPL2-A10-410-LV01-MCC01,MAA,0.4,75,VISIBLE_IN_SLD
KPL2-A10-410-CP003,KPL2-A10-410-LV01-MCC01,MAA,0.4,3,VISIBLE_IN_SLD
KPL2-A10-410-FN004,KPL2-A10-410-LV01-MCC01,MAA,0.4,11,VISIBLE_IN_SLD
KPL2-A10-410-CP004,KPL2-A10-410-LV01-MCC01,MAA,0.4,2.2,VISIBLE_IN_SLD
KPL2-A10-410-CP005,KPL2-A10-410-LV01-MCC01,MAA,0.4,22,VISIBLE_IN_SLD
KPL2-A10-410-FN005,KPL2-A10-410-LV01-MCC01,MAA,0.4,55,VISIBLE_IN_SLD
KPL2-A10-410-MX006,KPL2-A10-410-LV01-MCC01,MAA,0.4,2.2,VISIBLE_IN_SLD
KPL2-A10-410-MX007,KPL2-A10-410-LV01-MCC01,MAA,0.4,18.5,VISIBLE_IN_SLD
KPL2-A10-410-FN006,KPL2-A10-410-LV01-MCC01,MAA,0.4,22,VISIBLE_IN_SLD
KPL2-A10-410-PK001,KPL2-A10-410-LV01-MCC02,PK,0.4,7.5,VISIBLE_IN_SLD
KPL2-A10-410-FN007,KPL2-A10-410-LV01-MCC02,MAA,0.4,75,VISIBLE_IN_SLD
KPL2-A10-410-PP005,KPL2-A10-410-LV01-MCC02,MAA,0.4,45,VISIBLE_IN_SLD
KPL2-A10-410-FN008,KPL2-A10-410-LV01-MCC02,MAA,0.4,5.5,VISIBLE_IN_SLD
KPL2-A10-410-CP006,KPL2-A10-410-LV01-MCC02,MAA,0.4,37,VISIBLE_IN_SLD
KPL2-A10-410-HT001,KPL2-A10-410-LV01-MCC02,HE,0.4,75,VISIBLE_IN_SLD
KPL2-A10-410-PP006,KPL2-A10-410-LV01-MCC02,MAA,0.4,22,VISIBLE_IN_SLD
KPL2-A10-410-CP007,KPL2-A10-410-LV01-MCC02,MAA,0.4,1.5,VISIBLE_IN_SLD
KPL2-A10-410-MX008,KPL2-A10-410-LV01-MCC02,MAA,0.4,30,VISIBLE_IN_SLD
KPL2-A10-410-HT002,KPL2-A10-410-LV01-MCC02,HE,0.4,4,VISIBLE_IN_SLD
KPL2-A10-410-HT003,KPL2-A10-410-LV01-MCC02,HE,0.4,7.5,VISIBLE_IN_SLD
KPL2-A10-410-CP008,KPL2-A10-410-LV01-MCC02,MAA,0.4,2.2,VISIBLE_IN_SLD
KPL2-A10-410-PK002,KPL2-A10-410-LV01-MCC02,PK,0.4,15,VISIBLE_IN_SLD
KPL2-A10-410-PP007,KPL2-A10-410-LV01-MCC02,MAA,0.4,15,VISIBLE_IN_SLD
KPL2-A10-410-PP008,KPL2-A10-410-LV01-MCC02,MAA,0.4,2.2,VISIBLE_IN_SLD
KPL2-A10-410-FN009,KPL2-A10-410-LV01-MCC02,MAA,0.4,55,VISIBLE_IN_SLD
KPL2-A10-410-HT004,KPL2-A10-410-LV01-DB01,HE,0.4,75,VISIBLE_IN_SLD
KPL2-A10-410-PK003,KPL2-A10-410-LV01-DB01,PK,0.4,3,VISIBLE_IN_SLD
KPL2-A10-410-LP001,KPL2-A10-410-LV01-DB01,AL,0.4,37,VISIBLE_IN_SLD
KPL2-A10-410-UP001,KPL2-A10-410-LV01-DB01,USPB,0.23,1.5,VISIBLE_IN_SLD
KPL2-A10-410-UP002,KPL2-A10-410-LV01-DB01,USPB,0.23,11,VISIBLE_IN_SLD
KPL2-A10-410-LP002,KPL2-A10-410-LV01-DB01,AL,0.4,11,VISIBLE_IN_SLD
KPL2-A10-410-HT005,KPL2-A10-410-LV01-DB01,HE,0.4,4,VISIBLE_IN_SLD
KPL2-A10-410-HT006,KPL2-A10-410-LV01-DB01,HE,0.4,75,VISIBLE_IN_SLD
KPL2-B20-420-PP001,KPL2-B20-420-LV02-MCC03,MAA,0.4,30,VISIBLE_IN_SLD
KPL2-B20-420-MX001,KPL2-B20-420-LV02-MCC03,MAA,0.4,75,VISIBLE_IN_SLD
KPL2-B20-420-PP002,KPL2-B20-420-LV02-MCC03,MAA,0.4,55,VISIBLE_IN_SLD
KPL2-B20-420-MX099,KPL2-B20-420-LV02-MCC03,MAA,0.4,55,VISIBLE_IN_SLD
KPL2-B20-420-CP001,KPL2-B20-420-LV02-MCC03,MAA,0.4,110,VISIBLE_IN_SLD
KPL2-B20-420-CP002,KPL2-B20-420-LV02-MCC03,MAA,0.4,22,VISIBLE_IN_SLD
KPL2-B20-420-PK001,KPL2-B20-420-LV02-MCC03,PK,0.4,90,VISIBLE_IN_SLD
KPL2-B20-420-PP003,KPL2-B20-420-LV02-MCC03,MAA,0.4,75,VISIBLE_IN_SLD
KPL2-B20-420-CP003,KPL2-B20-420-LV02-MCC03,MAA,0.4,22,VISIBLE_IN_SLD
KPL2-B20-420-CP004,KPL2-B20-420-LV02-MCC03,MAA,0.4,90,VISIBLE_IN_SLD
KPL2-B20-420-PP004,KPL2-B20-420-LV02-MCC03,MAA,0.4,37,VISIBLE_IN_SLD
KPL2-B20-420-MX099,KPL2-B20-420-LV02-MCC03,MAA,0.4,55,VISIBLE_IN_SLD
KPL2-B20-420-MX004,KPL2-B20-420-LV02-MCC03,MAA,0.4,110,VISIBLE_IN_SLD
KPL2-B20-420-PK002,KPL2-B20-420-LV02-MCC03,PK,0.4,75,VISIBLE_IN_SLD
KPL2-B20-420-PK003,KPL2-B20-420-LV02-MCC03,PK,0.4,75,VISIBLE_IN_SLD
KPL2-B20-420-PP005,KPL2-B20-420-LV02-MCC03,MAA,0.4,30,VISIBLE_IN_SLD
KPL2-B20-420-PP006,KPL2-B20-420-LV02-MCC03,MAA,0.4,90,VISIBLE_IN_SLD
KPL2-B20-420-PP007,KPL2-B20-420-LV02-MCC03,MAA,0.4,45,VISIBLE_IN_SLD
KPL2-B20-420-CP005,KPL2-B20-420-LV02-MCC04,MAA,0.4,55,VISIBLE_IN_SLD
KPL2-B20-420-MX005,KPL2-B20-420-LV02-MCC04,MAA,6.6,11,VISIBLE_IN_SLD
KPL2-B20-420-HT001,KPL2-B20-420-LV02-MCC04,HE,0.4,30,VISIBLE_IN_SLD
KPL2-B20-420-PK004,KPL2-B20-420-LV02-MCC04,PK,0.4,55,VISIBLE_IN_SLD
KPL2-B20-420-CP006,KPL2-B20-420-LV02-MCC04,MAA,0.4,7.5,VISIBLE_IN_SLD
KPL2-B20-420-CP007,KPL2-B20-420-LV02-MCC04,MAA,0.4,3,VISIBLE_IN_SLD
KPL2-B20-420-MX006,KPL2-B20-420-LV02-MCC04,MAA,0.4,2.2,VISIBLE_IN_SLD
KPL2-B20-420-FN001,KPL2-B20-420-LV02-MCC04,MAA,0.4,3,VISIBLE_IN_SLD
KPL2-B20-420-HT002,KPL2-B20-420-LV02-MCC04,HE,0.4,75,VISIBLE_IN_SLD
KPL2-B20-420-HT003,KPL2-B20-420-LV02-MCC04,HE,0.4,4,VISIBLE_IN_SLD
KPL2-B20-420-CP008,KPL2-B20-420-LV02-MCC04,MAA,0.4,18.5,VISIBLE_IN_SLD
KPL2-B20-420-HT004,KPL2-B20-420-LV02-MCC04,HE,0.4,30,VISIBLE_IN_SLD
KPL2-B20-420-CP009,KPL2-B20-420-LV02-MCC04,MAA,0.4,75,VISIBLE_IN_SLD
KPL2-B20-420-HT005,KPL2-B20-420-LV02-MCC04,HE,0.4,15,VISIBLE_IN_SLD
KPL2-B20-420-UP001,KPL2-B20-420-LV02-DB02,USPB,0.23,5.5,VISIBLE_IN_SLD
KPL2-B20-420-LP001,KPL2-B20-420-LV02-DB02,AL,0.4,3,VISIBLE_IN_SLD
KPL2-B20-420-LP002,KPL2-B20-420-LV02-DB02,AL,0.4,11,VISIBLE_IN_SLD
KPL2-B20-420-PK005,KPL2-B20-420-LV02-DB02,PK,0.4,11,VISIBLE_IN_SLD
KPL2-B20-420-PK006,KPL2-B20-420-LV02-DB02,PK,0.4,1.5,VISIBLE_IN_SLD
KPL2-B20-420-UP002,KPL2-B20-420-LV02-DB02,USPB,0.23,15,VISIBLE_IN_SLD
KPL2-B20-420-PK007,KPL2-B20-420-LV02-DB02,PK,0.4,37,VISIBLE_IN_SLD
KPL2-B20-420-PK008,KPL2-B20-420-LV02-DB02,PK,0.4,22,VISIBLE_IN_SLD
KPL2-B20-420-PK009,KPL2-B20-420-LV02-DB02,PK,0.4,3,VISIBLE_IN_SLD
KPL2-C30-430-MX001,KPL2-C30-430-LV03-MCC05,MAA,0.4,45,VISIBLE_IN_SLD
KPL2-C30-430-PP001,KPL2-C30-430-LV03-MCC05,MAA,0.4,37,VISIBLE_IN_SLD
KPL2-C30-430-CP001,KPL2-C30-430-LV03-MCC05,MAA,0.4,1.5,VISIBLE_IN_SLD
KPL2-C30-430-FN001,KPL2-C30-430-LV03-MCC05,MAA,0.4,,VISIBLE_IN_SLD
KPL2-C30-430-MX002,KPL2-C30-430-LV03-MCC05,MAA,0.4,45,VISIBLE_IN_SLD
KPL2-C30-430-FN002,KPL2-C30-430-LV03-MCC05,MAA,0.4,5.5,VISIBLE_IN_SLD
KPL2-C30-430-HT001,KPL2-C30-430-LV03-MCC05,HE,0.4,37,VISIBLE_IN_SLD
KPL2-C30-430-CP002,KPL2-C30-430-LV03-MCC05,MAA,0.4,45,VISIBLE_IN_SLD
KPL2-C30-430-PK001,KPL2-C30-430-LV03-MCC05,PK,0.4,11,VISIBLE_IN_SLD
KPL2-C30-430-HT002,KPL2-C30-430-LV03-MCC05,HE,0.4,55,VISIBLE_IN_SLD
KPL2-C30-430-FN003,KPL2-C30-430-LV03-MCC05,MAA,0.4,11,VISIBLE_IN_SLD
KPL2-C30-430-PK002,KPL2-C30-430-LV03-MCC05,PK,0.4,45,VISIBLE_IN_SLD
KPL2-C30-430-FN004,KPL2-C30-430-LV03-MCC05,MAA,0.4,55,VISIBLE_IN_SLD
KPL2-C30-430-PK003,KPL2-C30-430-LV03-MCC05,PK,0.4,30,VISIBLE_IN_SLD
KPL2-C30-430-FN005,KPL2-C30-430-LV03-MCC05,MAA,0.4,7.5,VISIBLE_IN_SLD
KPL2-C30-430-MV001,KPL2-C30-430-MV01-SWG01,MAA,6.6,800,VISIBLE_IN_SLD
KPL2-C30-430-MV002,KPL2-C30-430-MV01-SWG01,MAA,6.6,800,VISIBLE_IN_SLD
KPL2-C30-430-MV003,KPL2-C30-430-MV01-SWG01,MAA,6.6,560,VISIBLE_IN_SLD
KPL2-C30-430-MV004,KPL2-C30-430-MV01-SWG01,MAA,6.6,400,VISIBLE_IN_SLD
KPL2-C30-430-MV005,KPL2-C30-430-MV01-SWG01,MAA,6.6,800,VISIBLE_IN_SLD
KPL2-A10-410-PP009,KPL2-A10-410-LV01-DB01,HE,0.4,75,VISIBLE_IN_SLD
KPL2-Z90-999-PP001,KPL2-Z90-999-LV99-MCC99,MAA,0.4,18.5,VISIBLE_IN_SLD
KPL2-X40-440-LV04-MCC09,KPL2-A10-410-LV01-SWBD01,MCC,0.4,180,SLD_ONLY_SPARE
