ITEM TAG,PARENT ITEM TAG,ASSET ROLE,EQUIPMENT TYPE,DESCRIPTION,RATED VOLTAGE [kV],RATED POWER_OR_CAPACITY_kW,DOWNSTREAM_CONNECTED_LOAD_kW,CHILD_COUNT,TOPOLOGY_STATUS
KPL2-A10-410-HT001,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,HE,SERVICE HEATER,0.4,75.0,75.0,0,OK
KPL2-A10-410-PP006,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,MAA,PROCESS PUMP,0.4,22.0,22.0,0,OK
KPL2-A10-410-CP007,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,MAA,AIR COMPRESSOR,0.4,1.5,1.5,0,OK
KPL2-A10-410-MX008,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,MAA,MIXER DRIVE,0.4,30.0,30.0,0,OK
KPL2-A10-410-HT002,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,HE,SERVICE HEATER,0.4,4.0,4.0,0,OK
KPL2-A10-410-HT003,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,HE,SERVICE HEATER,0.4,7.5,7.5,0,OK
KPL2-A10-410-CP008,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,MAA,AIR COMPRESSOR,0.4,2.2,2.2,0,OK
KPL2-A10-410-PK002,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,PK,PACKAGE AUXILIARY LOAD,0.4,15.0,15.0,0,OK
KPL2-A10-410-PP007,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,MAA,PROCESS PUMP,0.4,15.0,15.0,0,OK
KPL2-A10-410-PP008,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,MAA,PROCESS PUMP,0.4,2.2,2.2,0,OK
KPL2-A10-410-FN009,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,MAA,VENTILATION FAN,0.4,55.0,55.0,0,OK
KPL2-A10-410-HT004,KPL2-A10-410-LV01-DB01,FINAL_LOAD,HE,SERVICE HEATER,0.4,75.0,75.0,0,OK
KPL2-A10-410-PK003,KPL2-A10-410-LV01-DB01,FINAL_LOAD,PK,PACKAGE AUXILIARY LOAD,0.4,3.0,3.0,0,OK
KPL2-A10-410-LP001,KPL2-A10-410-LV01-DB01,FINAL_LOAD,AL,LIGHTING DISTRIBUTION PANEL,0.4,37.0,37.0,0,OK
KPL2-A10-410-UP001,KPL2-A10-410-LV01-DB01,FINAL_LOAD,USPB,UPS DISTRIBUTION LOAD,0.23,1.5,1.5,0,OK
KPL2-A10-410-UP002,KPL2-A10-410-LV01-DB01,FINAL_LOAD,USPB,UPS DISTRIBUTION LOAD,0.23,11.0,11.0,0,OK
KPL2-A10-410-LP002,KPL2-A10-410-LV01-DB01,FINAL_LOAD,AL,LIGHTING DISTRIBUTION PANEL,0.4,11.0,11.0,0,OK
KPL2-A10-410-HT005,KPL2-A10-410-LV01-DB01,FINAL_LOAD,HE,SERVICE HEATER,0.4,4.0,4.0,0,OK
KPL2-A10-410-HT006,KPL2-A10-410-LV01-DB01,FINAL_LOAD,HE,SERVICE HEATER,0.4,75.0,75.0,0,OK
KPL2-B20-420-PP001,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,MAA,PROCESS PUMP,0.4,30.0,30.0,0,OK
KPL2-B20-420-MX001,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,MAA,MIXER DRIVE,0.4,75.0,75.0,0,OK
KPL2-B20-420-PP002,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,MAA,PROCESS PUMP,0.4,55.0,55.0,0,OK
KPL2-B20-420-MX099,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,MAA,MIXER DRIVE,0.4,55.0,55.0,0,OK
KPL2-B20-420-CP001,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,MAA,AIR COMPRESSOR,0.4,110.0,110.0,0,OK
KPL2-B20-420-CP002,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,MAA,AIR COMPRESSOR,0.4,22.0,22.0,0,OK
KPL2-B20-420-PK001,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,PK,PACKAGE AUXILIARY LOAD,0.4,90.0,90.0,0,OK
KPL2-B20-420-PP003,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,MAA,PROCESS PUMP,0.4,75.0,75.0,0,OK
KPL2-B20-420-CP003,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,MAA,AIR COMPRESSOR,0.4,22.0,22.0,0,OK
KPL2-B20-420-CP004,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,MAA,AIR COMPRESSOR,0.4,90.0,90.0,0,OK
KPL2-B20-420-PP004,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,MAA,PROCESS PUMP,0.4,37.0,37.0,0,OK
KPL2-B20-420-MX099,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,MAA,MIXER DRIVE,0.4,55.0,55.0,0,OK
KPL2-B20-420-MX004,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,MAA,MIXER DRIVE,0.4,110.0,110.0,0,OK
KPL2-B20-420-PK002,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,PK,PACKAGE AUXILIARY LOAD,0.4,75.0,75.0,0,OK
KPL2-B20-420-PK003,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,PK,PACKAGE AUXILIARY LOAD,0.4,75.0,75.0,0,OK
KPL2-B20-420-PP005,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,MAA,PROCESS PUMP,0.4,30.0,30.0,0,OK
KPL2-B20-420-PP006,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,MAA,PROCESS PUMP,0.4,90.0,90.0,0,OK
KPL2-B20-420-PP007,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,MAA,PROCESS PUMP,0.4,45.0,45.0,0,OK
KPL2-B20-420-CP005,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,MAA,AIR COMPRESSOR,0.4,55.0,55.0,0,OK
KPL2-B20-420-MX005,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,MAA,MIXER DRIVE,6.6,11.0,11.0,0,OK
KPL2-B20-420-HT001,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,HE,SERVICE HEATER,0.4,30.0,30.0,0,OK
KPL2-B20-420-PK004,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,PK,PACKAGE AUXILIARY LOAD,0.4,55.0,55.0,0,OK
KPL2-B20-420-CP006,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,MAA,AIR COMPRESSOR,0.4,7.5,7.5,0,OK
KPL2-B20-420-CP007,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,MAA,AIR COMPRESSOR,0.4,3.0,3.0,0,OK
KPL2-B20-420-MX006,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,MAA,MIXER DRIVE,0.4,2.2,2.2,0,OK
KPL2-B20-420-FN001,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,MAA,VENTILATION FAN,0.4,3.0,3.0,0,OK
KPL2-B20-420-HT002,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,HE,SERVICE HEATER,0.4,75.0,75.0,0,OK
KPL2-B20-420-HT003,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,HE,SERVICE HEATER,0.4,4.0,4.0,0,OK
KPL2-B20-420-CP008,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,MAA,AIR COMPRESSOR,0.4,18.5,18.5,0,OK
KPL2-B20-420-HT004,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,HE,SERVICE HEATER,0.4,30.0,30.0,0,OK
KPL2-B20-420-CP009,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,MAA,AIR COMPRESSOR,0.4,75.0,75.0,0,OK
KPL2-B20-420-HT005,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,HE,SERVICE HEATER,0.4,15.0,15.0,0,OK
KPL2-B20-420-UP001,KPL2-B20-420-LV02-DB02,FINAL_LOAD,USPB,UPS DISTRIBUTION LOAD,0.23,5.5,5.5,0,OK
KPL2-B20-420-LP001,KPL2-B20-420-LV02-DB02,FINAL_LOAD,AL,LIGHTING DISTRIBUTION PANEL,0.4,3.0,3.0,0,OK
KPL2-B20-420-LP002,KPL2-B20-420-LV02-DB02,FINAL_LOAD,AL,LIGHTING DISTRIBUTION PANEL,0.4,11.0,11.0,0,OK
KPL2-B20-420-PK005,KPL2-B20-420-LV02-DB02,FINAL_LOAD,PK,PACKAGE AUXILIARY LOAD,0.4,11.0,11.0,0,OK
KPL2-B20-420-PK006,KPL2-B20-420-LV02-DB02,FINAL_LOAD,PK,PACKAGE AUXILIARY LOAD,0.4,1.5,1.5,0,OK
KPL2-B20-420-UP002,KPL2-B20-420-LV02-DB02,FINAL_LOAD,USPB,UPS DISTRIBUTION LOAD,0.23,15.0,15.0,0,OK
KPL2-B20-420-PK007,KPL2-B20-420-LV02-DB02,FINAL_LOAD,PK,PACKAGE AUXILIARY LOAD,0.4,37.0,37.0,0,OK
KPL2-B20-420-PK008,KPL2-B20-420-LV02-DB02,FINAL_LOAD,PK,PACKAGE AUXILIARY LOAD,0.4,22.0,22.0,0,OK
KPL2-B20-420-PK009,KPL2-B20-420-LV02-DB02,FINAL_LOAD,PK,PACKAGE AUXILIARY LOAD,0.4,3.0,3.0,0,OK
KPL2-C30-430-MX001,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,MAA,MIXER DRIVE,0.4,45.0,45.0,0,OK
KPL2-C30-430-PP001,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,MAA,PROCESS PUMP,0.4,37.0,37.0,0,OK
KPL2-C30-430-CP001,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,MAA,AIR COMPRESSOR,0.4,1.5,1.5,0,OK
KPL2-C30-430-FN001,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,MAA,VENTILATION FAN,0.4,,0.0,0,OK
KPL2-C30-430-MX002,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,MAA,MIXER DRIVE,0.4,45.0,45.0,0,OK
KPL2-C30-430-FN002,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,MAA,VENTILATION FAN,0.4,5.5,5.5,0,OK
KPL2-C30-430-HT001,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,HE,SERVICE HEATER,0.4,37.0,37.0,0,OK
KPL2-C30-430-CP002,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,MAA,AIR COMPRESSOR,0.4,45.0,45.0,0,OK
KPL2-C30-430-PK001,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,PK,PACKAGE AUXILIARY LOAD,0.4,11.0,11.0,0,OK
KPL2-C30-430-HT002,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,HE,SERVICE HEATER,0.4,55.0,55.0,0,OK
KPL2-C30-430-FN003,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,MAA,VENTILATION FAN,0.4,11.0,11.0,0,OK
KPL2-C30-430-PK002,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,PK,PACKAGE AUXILIARY LOAD,0.4,45.0,45.0,0,OK
KPL2-C30-430-FN004,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,MAA,VENTILATION FAN,0.4,55.0,55.0,0,OK
KPL2-C30-430-PK003,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,PK,PACKAGE AUXILIARY LOAD,0.4,30.0,30.0,0,OK
KPL2-C30-430-FN005,KPL2-C30-430-LV03-MCC05,FINAL_LOAD,MAA,VENTILATION FAN,0.4,7.5,7.5,0,OK
KPL2-C30-430-PK004,KPL2-C30-430-LV03-MCC06,FINAL_LOAD,PK,PACKAGE AUXILIARY LOAD,0.4,1.5,1.5,0,OK
KPL2-C30-430-HT003,KPL2-C30-430-LV03-MCC06,FINAL_LOAD,HE,SERVICE HEATER,0.4,18.5,18.5,0,OK
KPL2-C30-430-PP002,KPL2-C30-430-LV03-MCC06,FINAL_LOAD,MAA,PROCESS PUMP,0.4,2.2,2.2,0,OK
KPL2-C30-430-PK005,KPL2-C30-430-LV03-MCC06,FINAL_LOAD,PK,PACKAGE AUXILIARY LOAD,0.4,7.5,7.5,0,OK
KPL2-C30-430-MX003,KPL2-C30-430-LV03-MCC06,FINAL_LOAD,MAA,MIXER DRIVE,0.4,7.5,7.5,0,OK
KPL2-C30-430-CP003,KPL2-C30-430-LV03-MCC06,FINAL_LOAD,MAA,AIR COMPRESSOR,0.4,4.0,4.0,0,OK
KPL2-C30-430-CP004,KPL2-C30-430-LV03-MCC06,FINAL_LOAD,MAA,AIR COMPRESSOR,0.4,15.0,15.0,0,OK
KPL2-C30-430-FN006,KPL2-C30-430-LV03-MCC06,FINAL_LOAD,MAA,VENTILATION FAN,0.4,5.5,5.5,0,OK
KPL2-C30-430-FN007,KPL2-C30-430-LV03-MCC06,FINAL_LOAD,MAA,VENTILATION FAN,0.4,5.5,5.5,0,OK
KPL2-C30-430-CP005,KPL2-C30-430-LV03-MCC06,FINAL_LOAD,MAA,AIR COMPRESSOR,0.4,55.0,55.0,0,OK
KPL2-C30-430-HT004,KPL2-C30-430-LV03-MCC06,FINAL_LOAD,HE,SERVICE HEATER,0.4,15.0,15.0,0,OK
KPL2-C30-430-PP003,KPL2-C30-430-LV03-MCC06,FINAL_LOAD,MAA,PROCESS PUMP,0.4,11.0,11.0,0,OK
KPL2-C30-430-MV001,KPL2-C30-430-MV01-SWG01,FINAL_LOAD,MAA,MEDIUM VOLTAGE MOTOR,6.6,800.0,800.0,0,OK
KPL2-C30-430-MV002,KPL2-C30-430-MV01-SWG01,FINAL_LOAD,MAA,MEDIUM VOLTAGE MOTOR,6.6,800.0,800.0,0,OK
KPL2-C30-430-MV003,KPL2-C30-430-MV01-SWG01,FINAL_LOAD,MAA,MEDIUM VOLTAGE MOTOR,6.6,560.0,560.0,0,OK
KPL2-C30-430-MV004,KPL2-C30-430-MV01-SWG01,FINAL_LOAD,MAA,MEDIUM VOLTAGE MOTOR,6.6,400.0,400.0,0,OK
KPL2-C30-430-MV005,KPL2-C30-430-MV01-SWG01,FINAL_LOAD,MAA,MEDIUM VOLTAGE MOTOR,6.6,800.0,800.0,0,OK
KPL2-A10-410-PP009,KPL2-A10-410-LV01-DB01,FINAL_LOAD,HE,PROCESS PUMP,0.4,75.0,75.0,0,OK
KPL2-Z90-999-PP001,KPL2-Z90-999-LV99-MCC99,FINAL_LOAD,MAA,PROCESS PUMP,0.4,18.5,18.5,0,OK
